City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
guerrero negro,90.0,MX,1573430342.0,66.0,27.97,-114.04,21.33,5.85
bluff,48.0,AU,1573430342.0,14.0,-23.58,149.07,29.21,4.39
ribeira grande,39.0,PT,1573430342.0,85.0,38.52,-28.7,16.62,1.37
acajutla,100.0,SV,1573430343.0,54.0,13.59,-89.83,28.0,3.19
nantucket,20.0,US,1573430283.0,66.0,41.28,-70.1,11.11,6.2
kaeo,100.0,NZ,1573430343.0,94.0,-35.1,173.78,13.33,0.89
barrow,69.0,AR,1573430344.0,83.0,-38.31,-60.23,12.5,6.41
taunggyi,0.0,MM,1573430344.0,97.0,20.78,97.03,16.48,1.24
muravlenko,0.0,RU,1573430345.0,85.0,63.79,74.5,-23.32,2.98
miranpur,67.0,IN,1573430345.0,54.0,29.29,77.95,16.56,2.57
faanui,92.0,PF,1573430345.0,77.0,-16.48,-151.75,26.7,4.98
quelimane,23.0,MZ,1573430346.0,92.0,-17.88,36.89,23.41,1.52
mar del plata,27.0,AR,1573430346.0,78.0,-46.43,-67.52,10.93,4.88
bolnisi,0.0,GE,1573430346.0,86.0,41.45,44.54,5.0,1.79
husavik,17.0,CA,1573430347.0,72.0,50.56,-96.99,-13.89,2.24
luderitz,0.0,NA,1573430348.0,87.0,-26.65,15.16,16.0,1.5
fairbanks,90.0,US,1573430102.0,78.0,64.84,-147.72,-7.0,0.55
adrar,0.0,DZ,1573430348.0,26.0,27.87,-0.29,14.0,2.1
khatanga,100.0,RU,1573430349.0,97.0,71.98,102.47,-19.05,4.02
provideniya,90.0,RU,1573430349.0,98.0,64.42,-173.23,3.0,7.0
oskarshamn,89.0,SE,1573430349.0,100.0,57.26,16.44,2.22,1.5
trelew,43.0,AR,1573430350.0,64.0,-43.25,-65.31,10.56,8.31
ilheus,20.0,BR,1573430350.0,83.0,-14.79,-39.05,27.0,3.6
arraial do cabo,75.0,BR,1573430351.0,88.0,-22.97,-42.02,25.0,2.6
hilo,40.0,US,1573430351.0,55.0,19.71,-155.08,31.0,3.6
hasaki,75.0,JP,1573430352.0,100.0,35.73,140.83,15.0,1.0
port elizabeth,1.0,US,1573430352.0,57.0,39.31,-74.98,11.11,2.09
ulladulla,27.0,AU,1573430352.0,37.0,-35.36,150.48,22.78,3.6
port augusta,0.0,AU,1573430353.0,14.0,-32.49,137.76,28.0,9.8
anadyr,40.0,RU,1573430353.0,93.0,64.73,177.51,3.0,11.0
huarmey,0.0,PE,1573430354.0,77.0,-10.07,-78.15,18.21,1.28
cairns,38.0,AU,1573430354.0,51.0,-16.92,145.77,30.56,2.1
peniche,75.0,PT,1573430354.0,93.0,39.36,-9.38,16.0,5.7
pangody,8.0,RU,1573430355.0,99.0,65.85,74.49,-23.49,3.16
nichinan,20.0,JP,1573430355.0,72.0,31.65,131.31,18.0,6.7
kibaya,100.0,RW,1573430355.0,94.0,-2.2,30.56,15.84,0.34
atwater,1.0,US,1573430285.0,41.0,37.35,-120.61,27.0,1.5
buraydah,20.0,SA,1573430356.0,72.0,26.33,43.97,20.0,4.6
dhangadhi,0.0,NP,1573430357.0,73.0,28.7,80.57,16.2,0.99
tomakomai,75.0,JP,1573430357.0,75.0,42.65,141.6,8.89,2.6
pontianak,32.0,ID,1573430357.0,85.0,-0.02,109.34,26.8,0.29
susanville,1.0,US,1573430358.0,13.0,40.42,-120.65,21.0,2.6
shiyan,0.0,CN,1573430358.0,58.0,32.65,110.78,12.6,0.51
vao,96.0,EE,1573430359.0,95.0,59.1,26.19,4.77,2.88
pisco,20.0,PE,1573430359.0,30.0,-13.71,-76.2,22.0,2.1
tasiilaq,100.0,GL,1573430360.0,95.0,65.61,-37.64,3.0,24.7
makakilo city,90.0,US,1573430360.0,65.0,21.35,-158.09,30.0,5.1
portland,1.0,US,1573430272.0,45.0,43.66,-70.25,7.0,11.43
jamestown,0.0,AU,1573430361.0,13.0,-33.21,138.6,25.83,8.18
sitka,100.0,US,1573430361.0,43.0,37.17,-99.65,14.44,4.19
dinan,90.0,FR,1573430361.0,93.0,48.45,-2.05,7.22,3.1
lagoa,75.0,PT,1573430362.0,72.0,37.14,-8.45,16.0,5.1
puerto escondido,40.0,MX,1573430362.0,70.0,15.86,-97.07,30.0,0.4
olinala,1.0,MX,1573430363.0,64.0,17.83,-98.85,23.42,0.8
vondrozo,99.0,MG,1573430363.0,96.0,-22.82,47.32,21.82,1.71
pevek,95.0,RU,1573430364.0,75.0,69.7,170.27,-11.38,0.68
atuona,4.0,PF,1573430364.0,68.0,-9.8,-139.03,26.66,4.46
ayan,0.0,IR,1573430364.0,26.0,38.23,44.7,-1.07,0.7
grindavik,90.0,IS,1573430365.0,87.0,63.84,-22.43,6.0,21.1
coihaique,20.0,CL,1573430266.0,59.0,-45.58,-72.07,16.0,2.1
sao jose da coroa grande,57.0,BR,1573430365.0,75.0,-8.9,-35.15,26.51,6.26
teknaf,81.0,BD,1573430366.0,98.0,20.86,92.31,22.07,1.15
sorland,0.0,NO,1573430366.0,55.0,67.67,12.69,1.03,7.63
ostersund,98.0,SE,1573430366.0,85.0,63.18,14.64,-8.33,2.1
seoul,40.0,KR,1573430367.0,100.0,37.57,126.98,12.0,0.5
rodney,90.0,CA,1573430368.0,80.0,42.57,-81.68,6.11,3.1
georgetown,75.0,GY,1573430111.0,83.0,6.8,-58.16,28.0,2.1
constitucion,40.0,MX,1573430368.0,43.0,23.99,-104.67,27.0,3.6
alofi,22.0,NU,1573430369.0,61.0,-19.06,-169.92,28.0,7.2
kyaikkami,29.0,MM,1573430369.0,80.0,16.08,97.57,26.06,4.01
katsuura,40.0,JP,1573430369.0,87.0,33.93,134.5,18.33,3.6
east london,100.0,ZA,1573430370.0,81.0,-33.02,27.91,20.11,9.57
cap malheureux,40.0,MU,1573430370.0,94.0,-19.98,57.61,21.67,3.6
dingle,84.0,PH,1573430370.0,76.0,11.0,122.67,26.06,0.63
yar-sale,0.0,RU,1573430371.0,98.0,66.83,70.83,-22.14,3.7
homer,75.0,US,1573430371.0,75.0,59.64,-151.54,8.33,1.5
vardo,1.0,US,1573430371.0,61.0,39.62,-77.74,9.0,2.56
sturgeon bay,90.0,US,1573430372.0,58.0,44.83,-87.38,-1.67,4.1
yellowknife,40.0,CA,1573430372.0,72.0,62.45,-114.38,-12.0,2.1
san pedro de uraba,40.0,CO,1573430373.0,74.0,8.28,-76.38,29.0,1.73
bredasdorp,100.0,ZA,1573430373.0,82.0,-34.53,20.04,18.89,8.2
hofn,100.0,IS,1573430373.0,80.0,64.25,-15.21,6.12,19.08
sao filipe,82.0,CV,1573430374.0,81.0,14.9,-24.5,23.68,7.89
victoria,75.0,BN,1573430374.0,88.0,5.28,115.24,27.0,2.7
harper,90.0,US,1573430374.0,72.0,30.3,-99.24,17.22,4.6
susangerd,0.0,IR,1573430375.0,59.0,31.56,48.19,16.0,1.0
sur,0.0,OM,1573430375.0,59.0,22.57,59.53,23.49,2.76
hualmay,0.0,PE,1573430375.0,83.0,-11.1,-77.61,17.12,1.47
christchurch,100.0,NZ,1573430283.0,93.0,-43.53,172.64,11.11,6.7
longyearbyen,75.0,NO,1573430376.0,78.0,78.22,15.63,-10.0,2.6
magadan,69.0,RU,1573430376.0,68.0,59.56,150.8,-5.84,5.93
kirakira,74.0,SB,1573430377.0,60.0,-10.46,161.92,28.13,2.94
dandong,37.0,CN,1573430378.0,71.0,40.12,124.37,9.19,4.35
zavoronezhskoye,84.0,RU,1573430378.0,95.0,52.88,40.55,4.09,4.41
los llanos de aridane,75.0,ES,1573430378.0,68.0,28.66,-17.92,21.0,7.2
san jose,100.0,HN,1573430379.0,86.0,14.25,-87.96,18.82,2.81
salalah,20.0,OM,1573430379.0,69.0,17.01,54.1,24.0,1.5
baykit,96.0,RU,1573430380.0,97.0,61.68,96.39,-28.8,1.06
kodiak,1.0,US,1573430357.0,57.0,39.95,-94.76,11.0,5.7
aklavik,5.0,CA,1573430381.0,43.0,68.22,-135.01,-9.0,1.5
robertsport,100.0,LR,1573430381.0,79.0,6.75,-11.37,27.72,4.05
atambua,0.0,ID,1573430382.0,61.0,-9.11,124.89,28.25,1.49
springfield,75.0,US,1573430102.0,56.0,42.1,-72.59,7.22,3.6
te anau,86.0,NZ,1573430382.0,84.0,-45.41,167.72,5.97,1.52
mirnyy,100.0,RU,1573430383.0,89.0,56.57,36.46,8.3,3.55
chapais,90.0,CA,1573430383.0,84.0,49.78,-74.86,-13.0,2.6
klaksvik,100.0,FO,1573430384.0,66.0,62.23,-6.59,4.0,11.8
waipawa,63.0,NZ,1573430384.0,69.0,-39.94,176.59,16.11,5.36
cabo san lucas,75.0,MX,1573430384.0,51.0,22.89,-109.91,28.0,1.5
berlevag,69.0,NO,1573430385.0,71.0,70.86,29.09,0.36,7.37
okato,35.0,NZ,1573430385.0,50.0,-39.19,173.88,16.67,3.13
lamar,1.0,US,1573430386.0,26.0,38.09,-102.62,16.0,3.6
shihezi,100.0,CN,1573430386.0,50.0,44.3,86.03,4.77,2.76
severo-kurilsk,85.0,RU,1573430387.0,84.0,50.68,156.12,-0.69,8.74
paris,48.0,FR,1573430273.0,93.0,48.86,2.35,6.11,1.0
great yarmouth,88.0,GB,1573430388.0,100.0,52.61,1.73,6.11,3.1
bubaque,20.0,GW,1573430388.0,71.0,11.28,-15.83,28.57,5.08
kirksville,1.0,US,1573430260.0,78.0,40.19,-92.58,7.0,7.2
fukue,75.0,JP,1573430389.0,76.0,35.03,136.69,14.44,2.1
geraldton,20.0,CA,1573430389.0,71.0,49.72,-86.95,-16.0,2.1
padang,100.0,ID,1573430390.0,91.0,-0.92,100.36,20.33,0.36
ahipara,100.0,NZ,1573430390.0,77.0,-35.17,173.16,13.76,4.99
albany,90.0,US,1573430164.0,52.0,42.65,-73.75,7.0,2.6
shimoda,40.0,JP,1573430391.0,93.0,34.7,138.93,17.22,1.0
girona,81.0,ES,1573430391.0,81.0,41.98,2.82,11.67,2.1
manono,100.0,CD,1573430391.0,87.0,-7.3,27.4,21.89,0.77
nacogdoches,1.0,US,1573430245.0,59.0,31.6,-94.66,19.0,2.1
tura,100.0,RU,1573430392.0,95.0,64.27,100.22,-26.84,1.15
oranjestad,20.0,AW,1573430392.0,79.0,12.52,-70.03,29.0,7.2
athabasca,0.0,CA,1573430393.0,97.0,54.72,-113.29,-19.18,2.83
boralday,90.0,KZ,1573430393.0,93.0,43.36,76.86,2.0,5.0
wloszczowa,100.0,PL,1573430343.0,99.0,50.85,19.97,5.56,1.79
gat,98.0,SN,1573430394.0,83.0,14.69,-16.54,23.0,6.7
kieta,86.0,PG,1573430394.0,67.0,-6.22,155.63,28.65,2.83
new norfolk,100.0,AU,1573430395.0,48.0,-42.78,147.06,20.0,4.6
xining,76.0,CN,1573430395.0,43.0,36.62,101.77,-1.66,1.88
shitkino,100.0,RU,1573430396.0,86.0,56.37,98.35,-16.45,3.26
leningradskiy,58.0,RU,1573430396.0,68.0,69.38,178.42,-8.35,3.58
ixtapa,5.0,MX,1573430397.0,79.0,20.71,-105.21,30.0,4.6
wexford,90.0,US,1573430397.0,61.0,40.63,-80.06,11.0,2.1
naze,100.0,NG,1573430398.0,88.0,5.43,7.07,21.8,0.94
camaguey,75.0,CU,1573430398.0,88.0,21.38,-77.92,25.0,4.6
college,90.0,US,1573430399.0,78.0,64.86,-147.8,-6.0,0.97
bonthe,0.0,SL,1573430399.0,84.0,7.53,-12.5,26.16,2.57
yantal,100.0,RU,1573430400.0,96.0,56.85,105.25,-19.39,2.42
petropavlovsk-kamchatskiy,10.0,RU,1573430400.0,74.0,53.05,158.65,1.0,5.0
manggar,0.0,ID,1573430400.0,71.0,-2.88,108.27,28.85,3.36
port hardy,75.0,CA,1573430401.0,93.0,50.7,-127.42,10.0,2.1
saskylakh,100.0,RU,1573430402.0,95.0,71.97,114.09,-22.84,0.89
maldonado,16.0,UY,1573430306.0,80.0,-34.91,-54.96,16.81,8.33
cidreira,98.0,BR,1573430403.0,85.0,-30.17,-50.22,20.93,7.44
abu zabad,0.0,SD,1573430403.0,15.0,12.35,29.25,22.66,5.79
tambun,20.0,ID,1573430404.0,83.0,-6.26,107.07,28.89,2.6
kavieng,93.0,PG,1573430404.0,70.0,-2.57,150.8,27.65,1.45
nsanje,60.0,MZ,1573430406.0,89.0,-16.92,35.26,21.97,2.46
nouadhibou,10.0,MR,1573430407.0,72.0,20.93,-17.03,20.0,8.2
belyy yar,100.0,RU,1573430407.0,60.0,53.6,91.39,-12.0,3.0
vila velha,66.0,BR,1573430408.0,74.0,-3.71,-38.6,30.0,4.1
bandarbeyla,34.0,SO,1573430409.0,70.0,9.49,50.81,26.37,5.74
poum,50.0,MK,1573430409.0,85.0,41.28,20.71,5.0,0.52
bowling green,1.0,US,1573430402.0,47.0,36.99,-86.44,16.0,3.1
praia,40.0,BR,1573430410.0,51.0,-20.25,-43.81,28.0,2.6
cayenne,80.0,GF,1573430411.0,78.0,4.94,-52.33,28.0,2.1
shatsk,98.0,RU,1573430411.0,94.0,54.03,41.71,3.63,5.03
olinda,28.0,AU,1573430412.0,28.0,-37.84,145.39,23.89,9.8
dire dawa,0.0,ET,1573430412.0,76.0,9.59,41.86,14.89,2.46
kolda,41.0,SN,1573430413.0,47.0,12.89,-14.94,24.13,2.13
touros,20.0,BR,1573430413.0,78.0,-5.2,-35.46,26.0,3.1
tuy hoa,100.0,VN,1573430414.0,86.0,13.08,109.3,25.57,8.31
port moresby,40.0,PG,1573430414.0,78.0,-9.47,147.16,28.0,1.5
jatai,84.0,IN,1573430415.0,26.0,28.97,76.18,19.24,1.07
hue,75.0,VN,1573430415.0,94.0,16.47,107.58,24.0,4.6
lorengau,81.0,PG,1573430416.0,73.0,-2.02,147.27,28.4,3.39
amapa,90.0,HN,1573430416.0,96.0,15.09,-87.97,23.89,1.0
norman wells,5.0,CA,1573430417.0,77.0,65.28,-126.83,-14.0,1.62
monrovia,75.0,LR,1573430417.0,94.0,6.33,-10.8,26.0,2.35
hithadhoo,90.0,MV,1573430418.0,71.0,-0.6,73.08,28.15,3.51
nushki,82.0,PK,1573430418.0,22.0,29.55,66.02,11.39,0.65
roma,75.0,IT,1573430226.0,81.0,41.89,12.48,14.0,5.1
caravelas,79.0,BR,1573430420.0,92.0,-17.73,-39.27,22.55,3.58
avarua,0.0,CK,1573430420.0,78.0,-21.21,-159.78,24.0,4.6
ocean city,1.0,US,1573430420.0,87.0,30.44,-86.61,18.0,1.36
sheltozero,100.0,RU,1573430421.0,96.0,61.37,35.37,6.47,5.68
phanat nikhom,20.0,TH,1573430421.0,83.0,13.45,101.18,29.44,1.5
san patricio,23.0,PY,1573430422.0,73.0,-26.98,-56.83,23.36,4.29
palembang,36.0,ID,1573430422.0,74.0,-2.99,104.76,26.05,2.23
port lincoln,0.0,AU,1573430423.0,16.0,-34.72,135.86,28.4,10.28
mayo,5.0,CA,1573430423.0,69.0,63.59,-135.9,-23.0,1.14
san andres,99.0,PH,1573430423.0,84.0,13.32,122.68,25.9,2.85
kailaras,0.0,IN,1573430424.0,52.0,26.3,77.62,20.19,1.21
snezhnogorsk,75.0,RU,1573430424.0,76.0,69.19,33.23,-21.0,0.6
ponta do sol,94.0,BR,1573430425.0,83.0,-20.63,-46.0,21.61,2.13
narsaq,100.0,GL,1573430425.0,80.0,60.91,-46.05,1.0,16.5
ambon,98.0,FR,1573430425.0,93.0,47.55,-2.56,7.78,1.0
juazeirinho,80.0,BR,1573430426.0,81.0,-7.07,-36.58,21.18,8.26
lubango,98.0,AO,1573430426.0,92.0,-14.92,13.49,15.41,1.93
san ignacio,59.0,PE,1573430426.0,94.0,-5.15,-79.0,18.57,0.8
pilibanga,98.0,IN,1573430427.0,28.0,29.49,74.08,17.25,1.2
mehamn,61.0,NO,1573430427.0,81.0,71.03,27.85,-4.83,5.87
tyukhtet,100.0,RU,1573430428.0,80.0,56.54,89.31,-12.14,3.77
sharjah,0.0,AE,1573430219.0,73.0,25.36,55.39,21.0,3.1
port-gentil,75.0,GA,1573430428.0,88.0,-0.72,8.78,27.0,2.6
daru,100.0,PG,1573430429.0,90.0,-9.07,143.21,26.43,3.52
sechura,54.0,PE,1573430429.0,85.0,-5.56,-80.82,18.64,4.99
coos bay,1.0,US,1573430430.0,72.0,43.37,-124.22,17.22,3.6
lompoc,1.0,US,1573430430.0,52.0,34.64,-120.46,22.78,3.6
voi,61.0,KE,1573430430.0,93.0,-3.4,38.57,20.27,1.63
tomohon,20.0,ID,1573430276.0,78.0,1.33,124.84,27.0,1.06
ambilobe,61.0,MG,1573430431.0,84.0,-13.19,49.05,22.19,2.91
sopelana,75.0,ES,1573430432.0,100.0,43.38,-2.98,12.22,1.5
alta floresta,87.0,BR,1573430432.0,91.0,-9.87,-56.08,22.08,0.97
tessalit,100.0,ML,1573430433.0,14.0,20.2,1.01,22.45,5.9
buenos aires,6.0,AR,1573430409.0,68.0,-34.61,-58.44,21.0,7.7
maragogi,57.0,BR,1573430434.0,75.0,-9.01,-35.22,26.51,6.26
evensk,100.0,RU,1573430434.0,95.0,61.92,159.24,-3.38,2.91
unirea,83.0,RO,1573430434.0,87.0,46.4,23.81,10.0,1.0
itarema,97.0,BR,1573430435.0,77.0,-2.92,-39.92,25.37,4.59
bathsheba,40.0,BB,1573430435.0,78.0,13.22,-59.52,28.0,7.2
yuzhou,0.0,CN,1573430435.0,33.0,34.16,113.47,7.0,1.11
bartlesville,1.0,US,1573430436.0,72.0,36.75,-95.98,21.0,2.6
iquitos,20.0,PE,1573430437.0,78.0,-3.75,-73.25,28.0,1.5
pemba,35.0,MZ,1573430437.0,79.0,-12.97,40.52,26.37,0.81
kholodnyy,1.0,RU,1573430437.0,98.0,62.72,147.95,-23.07,1.54
khasan,100.0,RU,1573430438.0,67.0,42.43,130.64,6.53,2.46
salekhard,95.0,RU,1573430438.0,95.0,66.54,66.62,-19.37,2.42
camargo,100.0,MX,1573430438.0,44.0,27.69,-105.17,23.6,3.39
bourges,0.0,FR,1573430439.0,100.0,47.08,2.4,3.33,1.0
valdemarpils,90.0,LV,1573430439.0,87.0,57.37,22.59,7.0,3.1
tezu,98.0,IN,1573430440.0,97.0,27.93,96.16,17.42,0.44
zaria,100.0,NG,1573430440.0,38.0,11.11,7.72,22.9,1.85
comodoro rivadavia,40.0,AR,1573430440.0,76.0,-45.87,-67.48,13.0,5.1
lusambo,85.0,CD,1573430441.0,98.0,-4.97,23.44,21.01,0.56
rafaela,1.0,AR,1573430441.0,49.0,-31.25,-61.49,24.44,1.34
moravska trebova,75.0,CZ,1573430442.0,86.0,49.76,16.66,5.0,1.5
otane,63.0,NZ,1573430442.0,69.0,-39.89,176.62,16.11,5.36
santa fe,0.0,AR,1573430442.0,52.0,-31.62,-60.7,26.67,1.79
plastun,100.0,RU,1573430443.0,93.0,44.76,136.29,2.92,1.66
tuatapere,100.0,NZ,1573430443.0,58.0,-46.13,167.69,12.22,4.47
puerto del rosario,75.0,ES,1573430444.0,73.0,28.5,-13.86,21.0,9.8
kavaratti,69.0,IN,1573430444.0,73.0,10.57,72.64,27.14,2.94
batticaloa,15.0,LK,1573430444.0,94.0,7.71,81.69,21.8,0.81
nome,1.0,US,1573430445.0,77.0,30.04,-94.42,19.44,1.5
mundo nuevo,42.0,CL,1573430445.0,82.0,-32.72,-71.41,16.0,4.1
deniliquin,72.0,AU,1573430446.0,28.0,-35.53,144.96,24.44,5.81
komsomolskiy,70.0,RU,1573430446.0,91.0,67.55,63.78,-15.15,3.82
sawakin,11.0,SD,1573430447.0,70.0,19.1,37.33,29.64,3.15
kudal,0.0,IN,1573430447.0,76.0,16.01,73.69,24.75,2.62
castlemaine,23.0,AU,1573430448.0,60.0,-37.07,144.22,26.67,1.34
moron,2.0,HT,1573430448.0,78.0,18.56,-74.26,27.07,5.19
naron,90.0,ES,1573430448.0,93.0,43.52,-8.15,10.56,2.1
santa cruz,58.0,BR,1573430449.0,84.0,-6.22,-36.02,23.02,4.07
tchollire,72.0,CM,1573430449.0,50.0,8.4,14.17,24.18,1.5
kristiansund,75.0,NO,1573430450.0,68.0,63.12,7.73,-4.0,4.6
san quintin,39.0,PH,1573430450.0,82.0,17.54,120.52,24.62,1.57
nizhniy odes,100.0,RU,1573430450.0,95.0,63.64,54.86,-5.32,3.48
killybegs,92.0,IE,1573430451.0,66.0,54.63,-8.45,9.55,15.84
severo-yeniseyskiy,100.0,RU,1573430451.0,98.0,60.37,93.04,-28.82,2.18
senador pompeu,76.0,BR,1573430451.0,61.0,-5.58,-39.37,26.29,3.98
broome,88.0,GB,1573430452.0,100.0,52.47,1.45,6.67,3.1
araouane,100.0,ML,1573430452.0,13.0,18.9,-3.53,24.61,5.36
russell,1.0,US,1573430453.0,46.0,38.9,-98.86,14.0,6.2
poso,36.0,ID,1573430453.0,69.0,-1.4,120.75,23.64,0.94
ler,75.0,NO,1573430454.0,68.0,63.2,10.3,-3.0,3.6
bridgend,75.0,GB,1573430454.0,93.0,51.51,-3.58,8.33,4.6
saint-georges,100.0,CA,1573430235.0,66.0,46.12,-70.67,2.22,2.68
wuwei,84.0,CN,1573430455.0,27.0,37.93,102.64,2.73,2.84
general pico,59.0,AR,1573430455.0,32.0,-35.66,-63.75,24.45,6.85
eureka,1.0,US,1573430456.0,87.0,40.8,-124.16,17.78,4.6
nabire,96.0,ID,1573430456.0,56.0,-3.36,135.5,29.85,0.24
chhatarpur,0.0,IN,1573430456.0,57.0,24.92,79.59,18.93,1.46
bam,0.0,IR,1573430448.0,18.0,29.11,58.36,12.61,6.63
ayr,0.0,AU,1573430457.0,58.0,-19.58,147.4,28.33,3.81
sawtell,90.0,AU,1573430458.0,60.0,-30.38,153.1,22.22,3.6
